2023-10-21 14:22:18.151 -07:00 [INF] Application started. Press Ctrl+C to shut down.
2023-10-21 14:22:18.212 -07:00 [INF] Hosting environment: Development
2023-10-21 14:22:18.215 -07:00 [INF] Content root path: F:\Self-Project\c#\background\Download_Upload\Download_Upload
2023-10-21 14:22:18.266 -07:00 [INF] Upload Task running at: "2023-10-21T14:22:18.2658065-07:00"

2023-10-21 14:22:18.316 -07:00 [INF] result Task running at: "2023-10-21T14:22:18.3168912-07:00"

2023-10-21 14:22:18.410 -07:00 [INF] Viewer Task running at: "2023-10-21T14:22:18.4104700-07:00"

2023-10-21 14:22:18.411 -07:00 [INF] Download2 Task running at: "2023-10-21T14:22:18.4112285-07:00"

2023-10-21 14:22:18.411 -07:00 [INF] Download Task running at: "2023-10-21T14:22:18.4115386-07:00"

2023-10-21 14:22:33.325 -07:00 [INF] result Task running at: "2023-10-21T14:22:33.3256326-07:00"

2023-10-21 14:22:33.418 -07:00 [INF] Download Task running at: "2023-10-21T14:22:33.4188066-07:00"

2023-10-21 14:22:33.418 -07:00 [INF] Viewer Task running at: "2023-10-21T14:22:33.4188066-07:00"

2023-10-21 14:22:33.418 -07:00 [INF] Download2 Task running at: "2023-10-21T14:22:33.4188066-07:00"

2023-10-21 14:22:48.331 -07:00 [INF] result Task running at: "2023-10-21T14:22:48.3313773-07:00"

2023-10-21 14:22:48.439 -07:00 [INF] Viewer Task running at: "2023-10-21T14:22:48.4398341-07:00"

2023-10-21 14:22:48.439 -07:00 [INF] Download2 Task running at: "2023-10-21T14:22:48.4398341-07:00"

2023-10-21 14:22:48.439 -07:00 [INF] Download Task running at: "2023-10-21T14:22:48.4398341-07:00"

2023-10-21 14:23:03.340 -07:00 [INF] result Task running at: "2023-10-21T14:23:03.3404168-07:00"

2023-10-21 14:23:03.450 -07:00 [INF] Download Task running at: "2023-10-21T14:23:03.4499928-07:00"

2023-10-21 14:23:03.450 -07:00 [INF] Download2 Task running at: "2023-10-21T14:23:03.4499928-07:00"

2023-10-21 14:23:03.450 -07:00 [INF] Viewer Task running at: "2023-10-21T14:23:03.4499928-07:00"

2023-10-21 14:23:18.357 -07:00 [INF] result Task running at: "2023-10-21T14:23:18.3569768-07:00"

2023-10-21 14:23:18.465 -07:00 [INF] Download2 Task running at: "2023-10-21T14:23:18.4656296-07:00"

2023-10-21 14:23:18.465 -07:00 [INF] Viewer Task running at: "2023-10-21T14:23:18.4655902-07:00"

2023-10-21 14:23:18.465 -07:00 [INF] Download Task running at: "2023-10-21T14:23:18.4655864-07:00"

2023-10-21 14:23:33.368 -07:00 [INF] result Task running at: "2023-10-21T14:23:33.3687251-07:00"

2023-10-21 14:23:33.477 -07:00 [INF] Download2 Task running at: "2023-10-21T14:23:33.4775313-07:00"

2023-10-21 14:23:33.477 -07:00 [INF] Download Task running at: "2023-10-21T14:23:33.4775563-07:00"

2023-10-21 14:23:33.477 -07:00 [INF] Viewer Task running at: "2023-10-21T14:23:33.4775792-07:00"

2023-10-21 14:23:48.394 -07:00 [INF] result Task running at: "2023-10-21T14:23:48.3948066-07:00"

2023-10-21 14:23:48.488 -07:00 [INF] Viewer Task running at: "2023-10-21T14:23:48.4881519-07:00"

2023-10-21 14:23:48.488 -07:00 [INF] Download2 Task running at: "2023-10-21T14:23:48.4886579-07:00"

2023-10-21 14:23:48.489 -07:00 [INF] Download Task running at: "2023-10-21T14:23:48.4895797-07:00"

2023-10-21 14:24:03.411 -07:00 [INF] result Task running at: "2023-10-21T14:24:03.4112452-07:00"

2023-10-21 14:24:03.502 -07:00 [INF] Download2 Task running at: "2023-10-21T14:24:03.5029183-07:00"

2023-10-21 14:24:03.503 -07:00 [INF] Viewer Task running at: "2023-10-21T14:24:03.5033235-07:00"

2023-10-21 14:24:03.503 -07:00 [INF] Download Task running at: "2023-10-21T14:24:03.5037672-07:00"

2023-10-21 14:24:18.422 -07:00 [INF] result Task running at: "2023-10-21T14:24:18.4229158-07:00"

2023-10-21 14:24:18.516 -07:00 [INF] Viewer Task running at: "2023-10-21T14:24:18.5164122-07:00"

2023-10-21 14:24:18.516 -07:00 [INF] Download Task running at: "2023-10-21T14:24:18.5163956-07:00"

2023-10-21 14:24:18.516 -07:00 [INF] Download2 Task running at: "2023-10-21T14:24:18.5163956-07:00"

2023-10-21 14:24:33.442 -07:00 [INF] result Task running at: "2023-10-21T14:24:33.4427836-07:00"

2023-10-21 14:24:33.535 -07:00 [INF] Download Task running at: "2023-10-21T14:24:33.5355125-07:00"

2023-10-21 14:24:33.535 -07:00 [INF] Viewer Task running at: "2023-10-21T14:24:33.5355125-07:00"

2023-10-21 14:24:33.536 -07:00 [INF] Download2 Task running at: "2023-10-21T14:24:33.5361956-07:00"

2023-10-21 14:24:48.445 -07:00 [INF] result Task running at: "2023-10-21T14:24:48.4449873-07:00"

2023-10-21 14:24:48.553 -07:00 [INF] Viewer Task running at: "2023-10-21T14:24:48.5533738-07:00"

2023-10-21 14:24:48.553 -07:00 [INF] Download Task running at: "2023-10-21T14:24:48.5533704-07:00"

2023-10-21 14:24:48.553 -07:00 [INF] Download2 Task running at: "2023-10-21T14:24:48.5533703-07:00"

2023-10-21 14:25:03.454 -07:00 [INF] result Task running at: "2023-10-21T14:25:03.4545815-07:00"

2023-10-21 14:25:03.564 -07:00 [INF] Download2 Task running at: "2023-10-21T14:25:03.5645404-07:00"

2023-10-21 14:25:03.564 -07:00 [INF] Viewer Task running at: "2023-10-21T14:25:03.5645396-07:00"

2023-10-21 14:25:03.564 -07:00 [INF] Download Task running at: "2023-10-21T14:25:03.5646041-07:00"

2023-10-21 14:25:18.474 -07:00 [INF] result Task running at: "2023-10-21T14:25:18.4746301-07:00"

2023-10-21 14:25:18.582 -07:00 [INF] Download Task running at: "2023-10-21T14:25:18.5825028-07:00"

2023-10-21 14:25:18.582 -07:00 [INF] Viewer Task running at: "2023-10-21T14:25:18.5825009-07:00"

